Courses
;Year;Period;Code;Name;Section;Dept.;T;P;L;Cr;ECTS;Category;Lecturer;Room;Schedule;# of Students;Successfull;Unsuccessfull;Conditional;Withdrawn;Average;Staff ID;
;2025;2;BA 202;Management Science;BA 202_01;Department of Business Administration;3;0;0;3;6;Course;Hakan Bütüner ;G103 GB07-PC-L;Mo 12 - 15 Fr 13 - 14;46;;;;;;5021;
;2025;2;BA 202;Management Science;BA 202_02;Department of Business Administration;3;0;0;3;6;Course;Hakan Bütüner ;D232 GB07-PC-L;We 15 - 18 Fr 14 - 15;46;;;;;;5021;
;2025;2;BA 220;Fundamentals of Entrepreneurship;BA 220_01;Department of Business Administration;3;0;0;3;6;Course;Burze Yaşar ;GB05;Tu 12 - 15;0;;;;;;308;
;2025;2;BA 300;Summer Practice  I;BA 300_01;Department of Business Administration;1;0;0;1;2;Internship;Aslı Yüksel ;;Fr 18 - 19;0;;;;;;5530;
;2025;2;BA 301;Principles of Marketing;BA 301_01;Department of Business Administration;3;0;0;3;6;Course;Aras Alkış ;G112;Mo 15 - 18;8;;;;;;1340;
;2025;2;BA 301;Principles of Marketing;BA 301_02;Department of Business Administration;3;0;0;3;6;Course;Can Armutlu ;G103;Fr 12 - 15;7;;;;;;481;
;2025;2;BA 302;Business Law;BA 302_01;Department of Business Administration;3;0;0;3;6;Course;Şebnem Akipek Öcal ;G006;Tu 09 - 12;1;;;;;;279;
;2025;2;BA 303;Managerial Accounting;BA 303_01;Department of Business Administration;3;0;0;3;6;Course;Sadettin Aydın Yüksel ;D234;Mo 09 - 12;46;;;;;;5038;
;2025;2;BA 304;Corporate Finance;BA 304_01;Department of Business Administration;3;0;0;3;6;Course;Işıl Sevilay Yılmaz ;F317;Mo 15 - 18;17;;;;;;864;
;2025;2;BA 308;Financial Management;BA 308_01;Department of Business Administration;3;0;0;3;6;Course;Sadettin Aydın Yüksel ;D234;Th 09 - 12;44;;;;;;5038;
;2025;2;BA 400;Summer Practice II;BA 400_01;Department of Business Administration;1;0;0;1;3;Internship;Aslı Yüksel ;;Fr 19 - 20;0;;;;;;5530;
;2025;2;BA 400-O;Summer Practice II;BA 400-O_01;Department of Business Administration;1;0;0;1;2;Internship;Aslı Yüksel ;;Fr 19 - 20;0;;;;;;5530;
;2025;2;BA 401;Research Methods;BA 401_01;Department of Business Administration;3;0;0;3;6;Course;Aslı Yüksel ;DB16;We 09 - 12;36;;;;;;5530;
;2025;2;BA 401-O;Research Methods;BA 401-O_01;Department of Business Administration;3;0;0;3;7;Course;Aslı Yüksel ;DB16;We 09 - 12;10;;;;;;5530;
;2025;2;BA 402;Graduation Paper and Seminar;BA 402_01;Department of Business Administration;3;0;0;3;6;Course;Aras Alkış ;;Fr 15 - 18;0;;;;;;1340;
