Courses
;Year;Period;Code;Name;Section;Dept.;T;P;L;Cr;ECTS;Category;Lecturer;Room;Schedule;# of Students;Successfull;Unsuccessfull;Conditional;Withdrawn;Average;Staff ID;
;2025;2;CMPE 242;Data Structures and Algorithms I;CMPE 242_03;Department of Computer Engineering;3;0;0;3;6;Course;Tolga Kurtuluş Çapın ;D030 D028;Mo 11 - 13 Fr 15 - 16;0;;;;;;244;
;2025;2;CMPE 242;Data Structures and Algorithms I;CMPE 242_04;Department of Computer Engineering;3;0;0;3;6;Course;Mehmet Evren Coşkun ;DB14 G009;Tu 15 - 16 Th 09 - 11;0;;;;;;6656;
;2025;2;CMPE 252;C Programming;CMPE 252_01;Department of Computer Engineering;2;0;2;3;6;Course;Gökçe Nur Yılmaz ;D234 H007/009-PC;Mo 14 - 16 Th 13 - 15;0;;;;;;3053;
;2025;2;CMPE 252;C Programming;CMPE 252_02;Department of Computer Engineering;2;0;2;3;6;Course;Hakkı Gökhan İlk ;DB20 H007/009-PC;Mo 09 - 11 We 16 - 18;0;;;;;;6531;
;2025;2;CMPE 252;C Programming;CMPE 252_03;Department of Computer Engineering;2;0;2;3;6;Course;Hakkı Gökhan İlk ;H007/009-PC DB20;Mo 16 - 18 Tu 09 - 11;0;;;;;;6531;
;2025;2;CMPE 252;C Programming;CMPE 252_04;Department of Computer Engineering;2;0;2;3;6;Course;Hakkı Gökhan İlk ;DB18 H007/009-PC;Th 11 - 13 Fr 09 - 11;0;;;;;;6531;
;2025;2;CMPE 252;C Programming;CMPE 252_05;Department of Computer Engineering;2;0;2;3;6;Course;Ayşe Yasemin Seydim ;DB14 H007/009-PC;We 16 - 18 Fr 11 - 13;0;;;;;;5863;
;2025;2;CMPE 313;Software Engineering;CMPE 313_01;Department of Computer Engineering;3;0;0;3;6;Course;Elif Kurtaran Özbudak ;D028 D032;Tu 09 - 11 Th 13 - 14;0;;;;;;3895;
;2025;2;CMPE 313;Software Engineering;CMPE 313_02;Department of Computer Engineering;3;0;0;3;6;Course;Elif Kurtaran Özbudak ;D230 D032;We 13 - 15 Th 12 - 13;0;;;;;;3895;
;2025;2;CMPE 313;Software Engineering;CMPE 313_03;Department of Computer Engineering;3;0;0;3;6;Course;Mehmet Evren Coşkun ;D030;Tu 09 - 11 Th 13 - 14;0;;;;;;6656;
;2025;2;CMPE 313;Software Engineering;CMPE 313_04;Department of Computer Engineering;3;0;0;3;6;Course;Mehmet Evren Coşkun ;D032 D030;We 13 - 15 Th 12 - 13;0;;;;;;6656;
;2025;2;CMPE 326;Concepts of Programming Languages;CMPE 326_01;Department of Computer Engineering;3;0;0;3;5;Course;Fırat Akba ;D032;Mo 09 - 11 We 09 - 10;0;;;;;;4099;
;2025;2;CMPE 326;Concepts of Programming Languages;CMPE 326_02;Department of Computer Engineering;3;0;0;3;5;Course;Fırat Akba ;D028 D032;Mo 12 - 14 We 10 - 11;0;;;;;;4099;
;2025;2;CMPE 326;Concepts of Programming Languages;CMPE 326_03;Department of Computer Engineering;3;0;0;3;5;Course;Saiful Islam ;D232;Mo 09 - 11 We 09 - 10;0;;;;;;4842;
;2025;2;CMPE 326;Concepts of Programming Languages;CMPE 326_04;Department of Computer Engineering;3;0;0;3;5;Course;Saiful Islam ;D234 D232;Mo 12 - 14 We 10 - 11;0;;;;;;4842;
;2025;2;CMPE 326;Concepts of Programming Languages;CMPE 326_05;Department of Computer Engineering;3;0;0;3;5;Course;Saiful Islam ;DB18 D028;Tu 14 - 16 We 13 - 14;0;;;;;;4842;
;2025;2;CMPE 343;Data Structures and Algorithms II;CMPE 343_01;Department of Computer Engineering;3;0;0;3;6;Course;Ulaş Güleç ;D030;Th 09 - 11 Fr 13 - 14;0;;;;;;3019;
;2025;2;CMPE 343;Data Structures and Algorithms II;CMPE 343_02;Department of Computer Engineering;3;0;0;3;6;Course;Ulaş Güleç ;D026 D030;Th 12 - 13 Fr 11 - 13;0;;;;;;3019;
;2025;2;CMPE 343;Data Structures and Algorithms II;CMPE 343_03;Department of Computer Engineering;3;0;0;3;6;Course;Ulaş Güleç ;D026 D030;Th 13 - 14 Fr 16 - 18;0;;;;;;3019;
;2025;2;CMPE 361;Computer Organization;CMPE 361_01;Department of Computer Engineering;2;0;2;3;6;Course;Ali Berkol (S) ;D230 GB07-PC-L;Tu 16 - 18 Th 14 - 16;0;;;;;;00005650 (S);
;2025;2;CMPE 382;Operating Systems;CMPE 382_01;Department of Computer Engineering;3;0;0;3;5;Course;Deniz Cantürk ;D032;Mo 14 - 16 We 15 - 16;0;;;;;;6475;
;2025;2;CMPE 382;Operating Systems;CMPE 382_02;Department of Computer Engineering;3;0;0;3;5;Course;Deniz Cantürk ;D032 D028;We 16 - 18 Th 11 - 12;0;;;;;;6475;
;2025;2;CMPE 382;Operating Systems;CMPE 382_03;Department of Computer Engineering;3;0;0;3;5;Course;;G105;Mo 14 - 16 We 15 - 16;0;;;;;;;
;2025;2;CMPE 382;Operating Systems;CMPE 382_04;Department of Computer Engineering;3;0;0;3;5;Course;;G105 G113;We 16 - 18 Th 11 - 12;0;;;;;;;
;2025;2;CMPE 382;Operating Systems;CMPE 382_05;Department of Computer Engineering;3;0;0;3;5;Course;;D028 G113;Mo 11 - 12 Th 09 - 11;0;;;;;;;
;2025;2;CMPE 399;Summer Practice I;CMPE 399_01;Department of Computer Engineering;1;0;0;1;2;Internship;Ayşe Yasemin Seydim ;;Fr 18 - 19;0;;;;;;5863;
;2025;2;CMPE 414;Information Retrieval;CMPE 414_01;Department of Computer Engineering;3;0;0;3;5;Course;Ali Berkol (S) ;D032;Mo 16 - 19;0;;;;;;00005650 (S);
;2025;2;CMPE 414;Information Retrieval;CMPE 414_02;Department of Computer Engineering;3;0;0;3;5;Course;Ali Berkol (S) ;D032;Th 16 - 19;0;;;;;;00005650 (S);
;2025;2;CMPE 414;Information Retrieval;CMPE 414_03;Department of Computer Engineering;3;0;0;3;5;Course;Ali Berkol (S) ;D026;Fr 16 - 19;0;;;;;;00005650 (S);
;2025;2;CMPE 442;Introduction to Machine Learning;CMPE 442_01;Department of Computer Engineering;3;0;0;3;5;Course;Ayşenur Birtürk ;DB16;Tu 09 - 12;0;;;;;;7516;
;2025;2;CMPE 442;Introduction to Machine Learning;CMPE 442_02;Department of Computer Engineering;3;0;0;3;5;Course;Ayşenur Birtürk ;DB14;Th 11 - 14;0;;;;;;7516;
;2025;2;CMPE 442;Introduction to Machine Learning;CMPE 442_03;Department of Computer Engineering;3;0;0;3;5;Course;Ayşenur Birtürk ;DB14;Fr 12 - 15;0;;;;;;7516;
;2025;2;CMPE 472;Computer Networks;CMPE 472_01;Department of Computer Engineering;2;0;2;3;6;Course;Müslim Bozyiğit ;A514-PC-L D030;Mo 11 - 13 Tu 15 - 17;0;;;;;;5532;
;2025;2;CMPE 472;Computer Networks;CMPE 472_02;Department of Computer Engineering;2;0;2;3;6;Course;Müslim Bozyiğit ;D026 A514-PC-L;Mo 13 - 15 Tu 12 - 14;0;;;;;;5532;
;2025;2;CMPE 472;Computer Networks;CMPE 472_03;Department of Computer Engineering;2;0;2;3;6;Course;Müslim Bozyiğit ;A514-PC-L D030;Mo 15 - 17 We 16 - 18;0;;;;;;5532;
;2025;2;CMPE 480;International Standards on Software Engineering;CMPE 480_01;Department of Computer Engineering;3;0;0;3;5;Course;Özlem Albayrak ;DB20;We 09 - 12;0;;;;;;5055;
;2025;2;CMPE 490;Introduction to Research in Computer Eng;CMPE 490_01;Department of Computer Engineering;0;6;0;3;6;Course;Gökçe Nur Yılmaz ;G105;Tu 14 - 15;0;;;;;;3053;
;2025;2;CMPE 491;Senior Project I;CMPE 491_01;Department of Computer Engineering;1;2;0;2;5;Course;Gökçe Nur Yılmaz ;;Fr 20 - 21;0;;;;;;3053;
;2025;2;CMPE 491-O;Senior Project I;CMPE 491-O_1;Department of Computer Engineering;1;4;0;3;8;Course;Gökçe Nur Yılmaz ;;Fr 20 - 21;0;;;;;;3053;
;2025;2;CMPE 492;Senior Project II;CMPE 492_01;Department of Computer Engineering;1;8;0;5;12;Course;Gökçe Nur Yılmaz ;;Fr 21 - 22;0;;;;;;3053;
;2025;2;CMPE 492-O;Senior Project II;CMPE 492-O_1;Department of Computer Engineering;1;4;0;3;8;Course;Gökçe Nur Yılmaz ;;Fr 21 - 22;0;;;;;;3053;
;2025;2;CMPE 499;Summer Practice II;CMPE 499_01;Department of Computer Engineering;1;0;0;1;3;Internship;Ayşe Yasemin Seydim ;;Fr 19 - 20;0;;;;;;5863;
;2025;2;CMPE 499-O;Summer Practice II;CMPE 499-O_1;Department of Computer Engineering;1;0;0;1;2;Internship;Ayşe Yasemin Seydim ;;Fr 19 - 20;0;;;;;;5863;
;2025;2;COM 250;Effective Communication Techniques;COM 250_01;Basic Sciences;3;0;0;3;5;Course;Esin Tarhan Över (S) ;GB05;Th 09 - 12;0;;;;;;00000334 (S);
;2025;2;COM 250;Effective Communication Techniques;COM 250_02;Basic Sciences;3;0;0;3;5;Course;Esin Tarhan Över (S) ;GB05;Th 12 - 15;0;;;;;;00000334 (S);
;2025;2;COM 250;Effective Communication Techniques;COM 250_03;Basic Sciences;3;0;0;3;5;Course;Esin Tarhan Över (S) ;GB05;Fr 12 - 15;0;;;;;;00000334 (S);
;2025;2;ECON 101;Economics I;ECON 101_01;Department of Economics;3;0;0;3;6;Course;Jülide Yıldırım Öcal ;D230 D026;Mo 09 - 12 Th 14 - 16;22;;;;;;173;
;2025;2;ECON 101;Economics I;ECON 101_02;Department of Economics;3;0;0;3;6;Course;Jülide Yıldırım Öcal ;D228 D028;Tu 15 - 18 Th 14 - 16;22;;;;;;173;
;2025;2;ECON 101-O;Economics I;ECON 101-O_1;Department of Economics;3;1;0;4;6;Course;Jülide Yıldırım Öcal ;D230 D026;Mo 09 - 12 Th 14 - 16;0;;;;;;173;
;2025;2;ECON 101-O;Economics I;ECON 101-O_2;Department of Economics;3;1;0;4;6;Course;Jülide Yıldırım Öcal ;D228 D028;Tu 15 - 18 Th 14 - 16;0;;;;;;173;
;2025;2;ECON 102;Economics II;ECON 102_01;Department of Economics;3;0;0;3;6;Course;Meltem Dayıoğlu Tayfur ;D026;We 15 - 18 Th 16 - 18;0;;;;;;5658;
;2025;2;ECON 102;Economics II;ECON 102_02;Department of Economics;3;0;0;3;6;Course;Meltem Dayıoğlu Tayfur ;DB16 D028;Mo 09 - 12 Th 16 - 18;0;;;;;;5658;
;2025;2;ECON 102;Economics II;ECON 102_03;Department of Economics;3;0;0;3;6;Course;Nazire Nergiz Dinçer , Orçun Kasap ;DB20 D030;We 15 - 18 Th 16 - 18;0;;;;;;00000051 , 00003226;
;2025;2;ECON 102-O;Economics II;ECON 102-O_1;Department of Economics;3;1;0;4;6;Course;Meltem Dayıoğlu Tayfur ;D026;We 15 - 18 Th 16 - 18;0;;;;;;5658;
;2025;2;ECON 102-O;Economics II;ECON 102-O_2;Department of Economics;3;1;0;4;6;Course;Meltem Dayıoğlu Tayfur ;DB16 D028;Mo 09 - 12 Th 16 - 18;0;;;;;;5658;
;2025;2;ECON 102-O;Economics II;ECON 102-O_3;Department of Economics;3;1;0;4;6;Course;Nazire Nergiz Dinçer , Orçun Kasap ;DB20 D030;We 15 - 18 Th 16 - 18;0;;;;;;00000051 , 00003226;
;2025;2;ECON 209;Mathematics for Economists;ECON 209_01;Department of Economics;3;1;0;3;6;Course;Cavit Görkem Destan ;G105;We 09 - 12;0;;;;;;5529;
;2025;2;ECON 210;Statistical Methods for Economists;ECON 210_01;Department of Economics;3;1;0;3;6;Course;Seyit Mümin Cılasun ;D234;We 09 - 12;0;;;;;;4038;
;2025;2;ECON 212;Microeconomics II;ECON 212_01;Department of Economics;3;1;0;3;6;Course;Günnur Ege Bilgin ;D030;Mo 13 - 15 We 13 - 14;0;;;;;;6505;
;2025;2;ECON 222;Macroeconomics II;ECON 222_01;Department of Economics;3;0;0;3;6;Course;Nazire Nergiz Dinçer ;D232;Tu 12 - 15;0;;;;;;51;
;2025;2;ECON 300;Summer Practice  I;ECON 300_01;Department of Economics;1;0;0;1;2;Internship;Nazire Nergiz Dinçer ;;Fr 18 - 19;0;;;;;;51;
;2025;2;ECON 322;Development Economics;ECON 322_01;Department of Economics;3;0;0;3;6;Course;Jülide Yıldırım Öcal ;G009;Mo 15 - 18;0;;;;;;173;
;2025;2;ECON 332;Econometrics II;ECON 332_01;Department of Economics;3;0;2;4;6;Course;Savaş Gayaker (S) ;D228 DB16;Th 09 - 12 Fr 09 - 11;0;;;;;;00007371 (S);
;2025;2;ECON 342;International Economics II;ECON 342_01;Department of Economics;3;0;0;3;6;Course;Erdem Başçı ;D232;Tu 09 - 12;0;;;;;;3902;
;2025;2;ECON 400;Summer Practice II;ECON 400_01;Department of Economics;1;0;0;1;3;Internship;Nazire Nergiz Dinçer ;;Fr 19 - 20;0;;;;;;51;
;2025;2;ECON 400-O;Summer Practice II;ECON 400-O_1;Department of Economics;1;0;0;1;2;Internship;Nazire Nergiz Dinçer ;;Fr 19 - 20;0;;;;;;51;
;2025;2;ECON 401;Research Methods;ECON 401_01;Department of Economics;3;0;0;3;7;Course;Aslı Yüksel ;DB16;We 09 - 12;0;;;;;;5530;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_01;Department of Economics;3;0;0;3;7;Course;Nazire Nergiz Dinçer ;;Fr 15 - 18;0;;;;;;51;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_02;Department of Economics;3;0;0;3;7;Course;Ayça Tekin Koru ;;Fr 15 - 18;0;;;;;;6;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_03;Department of Economics;3;0;0;3;7;Course;Jülide Yıldırım Öcal ;;Fr 15 - 18;0;;;;;;173;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_04;Department of Economics;3;0;0;3;7;Course;Erdem Başçı ;;Fr 15 - 18;0;;;;;;3902;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_05;Department of Economics;3;0;0;3;7;Course;Meltem Dayıoğlu Tayfur ;;Fr 15 - 18;0;;;;;;5658;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_06;Department of Economics;3;0;0;3;7;Course;Seyit Mümin Cılasun ;;Fr 15 - 18;0;;;;;;4038;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_07;Department of Economics;3;0;0;3;7;Course;Cavit Görkem Destan ;;Fr 15 - 18;0;;;;;;5529;
;2025;2;ECON 402;Graduation Paper and Seminar;ECON 402_08;Department of Economics;3;0;0;3;7;Course;Günnur Ege Bilgin ;;Fr 15 - 18;0;;;;;;6505;
;2025;2;ECON 406;Experimental Economics;ECON 406_01;Department of Economics;3;0;0;3;6;Course;Cavit Görkem Destan ;GB07-PC-L;Mo 09 - 12;0;;;;;;5529;
;2025;2;ECON 420;Gender and Development;ECON 420_01;Department of Economics;3;0;0;3;6;Course;Selin Akyüz Tursun ;G006;Fr 12 - 15;0;;;;;;2563;
;2025;2;ECON 451;Fiscal Policy and Public Finance;ECON 451_01;Department of Economics;3;0;0;3;6;Course;;DB18;Th 15 - 18;0;;;;;;;
;2025;2;ECON 474;Political Game Theory;ECON 474_01;Department of Economics;3;0;0;3;6;Course;Günnur Ege Bilgin ;G213;We 15 - 18;0;;;;;;6505;
;2025;2;ED 101;Educational Philosophy;ED 101_01;Department of Educational Sciences;3;0;0;3;5;Course;Yeşer Torun ;G009;Mo 12 - 15;0;;;;;;4834;
;2025;2;ED 101;Educational Philosophy;ED 101_02;Department of Educational Sciences;3;0;0;3;5;Course;Yeşer Torun ;G113;Tu 12 - 15;20;;;;;;4834;
;2025;2;ED 101;Educational Philosophy;ED 101_03;Department of Educational Sciences;3;0;0;3;5;Course;Özlem Erden Başaran ;G006;Mo 12 - 15;0;;;;;;3260;
;2025;2;ED 102;Educational Psychology;ED 102_01;Department of Educational Sciences;3;0;0;3;5;Course;Merih Uğurel Kamışlı ;D226-Y;Mo 12 - 15;17;;;;;;3364;
;2025;2;ED 102;Educational Psychology;ED 102_02;Department of Educational Sciences;3;0;0;3;5;Course;Merih Uğurel Kamışlı ;D226-Y;We 11 - 14;0;;;;;;3364;
;2025;2;ED 110;Effective Speaking, Presentation and Rhetorical Skills for Teachers;ED 110_01;Department of Educational Sciences;2;0;0;2;3;Course;Elif Özcan (S) ;F404;Th 11 - 13;0;;;;;;00004129 (S);
;2025;2;ED 200;Educational Sociology;ED 200_01;Department of Educational Sciences;2;0;0;2;3;Course;Yeşer Torun ;F223;Th 16 - 18;0;;;;;;4834;
;2025;2;ED 201;Instructional Technologies;ED 201_01;Department of Educational Sciences;2;2;0;3;5;Course;Tülin Haşlaman ;GB07-PC-L;Tu 14 - 16 Th 09 - 11;0;;;;;;320;
;2025;2;ED 201;Instructional Technologies;ED 201_02;Department of Educational Sciences;2;2;0;3;5;Course;Tülin Haşlaman ;GB07-PC-L;Tu 16 - 18 Fr 09 - 11;0;;;;;;320;
;2025;2;ED 201;Instructional Technologies;ED 201_03;Department of Educational Sciences;2;2;0;3;5;Course;Tülin Haşlaman ;GB07-PC-L;Th 11 - 13 Fr 11 - 13;0;;;;;;320;
;2025;2;ED 203;Instructional Principles and Methods;ED 203_01;Department of Educational Sciences;2;2;0;3;5;Course;Tolga Erdoğan ;D226-Y;Tu 09 - 11 We 09 - 11;0;;;;;;2542;
;2025;2;ED 203;Instructional Principles and Methods;ED 203_02;Department of Educational Sciences;2;2;0;3;5;Course;Sibel Akın Sabuncu ;G009;Tu 09 - 11 We 09 - 11;0;;;;;;1354;
;2025;2;ED 210;History of Turkish Education;ED 210_01;Department of Educational Sciences;2;0;0;2;3;Course;Tolga Erdoğan ;G003;Tu 13 - 15;0;;;;;;2542;
;2025;2;ED 220;Curriculum Development in Education;ED 220_01;Department of Educational Sciences;2;0;0;2;3;Course;Sibel Akın Sabuncu ;G005;Tu 13 - 15;0;;;;;;1354;
;2025;2;ED 260;Project Design in Education;ED 260_01;Department of Educational Sciences;2;0;0;2;3;Course;Sibel Akın Sabuncu ;F115;Th 11 - 13;0;;;;;;1354;
;2025;2;ED 301;Measurement and Evaluation in Education;ED 301_01;Department of Educational Sciences;2;2;0;3;5;Course;Merve Şahin Kürşad ;G003;Mo 09 - 11 We 11 - 13;0;;;;;;5018;
;2025;2;ED 301;Measurement and Evaluation in Education;ED 301_02;Department of Educational Sciences;2;2;0;3;5;Course;Merve Şahin Kürşad ;G003;Mo 11 - 13 Tu 09 - 11;0;;;;;;5018;
;2025;2;ED 301;Measurement and Evaluation in Education;ED 301_03;Department of Educational Sciences;2;2;0;3;5;Course;Merve Şahin Kürşad ;G003;Tu 11 - 13 We 09 - 11;0;;;;;;5018;
;2025;2;ED 302;Research Methods in Education;ED 302_01;Department of Educational Sciences;2;2;0;3;5;Course;Betül Bulut Şahin ;A437;Mo 09 - 11 We 09 - 11;0;;;;;;6635;
;2025;2;ED 302;Research Methods in Education;ED 302_02;Department of Educational Sciences;2;2;0;3;5;Course;;G108;Mo 09 - 11 We 09 - 11;0;;;;;;;
;2025;2;ED 302;Research Methods in Education;ED 302_03;Department of Educational Sciences;2;2;0;3;5;Course;;G112;Mo 09 - 11 We 09 - 11;0;;;;;;;
;2025;2;ED 370;Guidance and Counseling in Schools;ED 370_01;Department of Educational Sciences;2;0;0;2;3;Course;Gökçen Aydın Dalarslan ;F217;Th 09 - 11;0;;;;;;3067;
;2025;2;ED 380;Special Education and Inclusion;ED 380_01;Department of Educational Sciences;2;0;0;2;3;Course;;F215;Fr 11 - 13;0;;;;;;;
;2025;2;ED 410;Intercultural Communication in Education;ED 410_01;Department of Educational Sciences;2;0;0;2;3;Course;Merih Uğurel Kamışlı ;F223;Th 09 - 11;0;;;;;;3364;
;2025;2;ED 430;Artificial Intelligence in Education;ED 430_01;Department of Educational Sciences;2;0;0;2;3;Course;Sinem Sözen Özdoğan ;GB13-PC-L;Th 09 - 11;0;;;;;;66;
;2025;2;ED 470;Introduction to Learning Engineering;ED 470_01;Department of Educational Sciences;1;2;0;2;3;Course;Funda Alptekin ;F115;Fr 09 - 12;0;;;;;;6735;
;2025;2;ED 480;Learning Experience Design;ED 480_01;Department of Educational Sciences;1;2;0;2;3;Course;Funda Alptekin ;F304;Th 16 - 19;0;;;;;;6735;
;2025;2;ED 490;Data Science for Educators;ED 490_01;Department of Educational Sciences;1;2;0;2;3;Course;Ayşe Gül Kara Aydemir ;F417;Tu 13 - 15;0;;;;;;7407;
;2025;2;EDUC 402;Teaching Practice 2 (ELEP);EDUC 402_02;Department of Educational Sciences;2;6;0;5;15;Course;Erdem Aksoy ;F223;Tu 14 - 16 Fr 12 - 18;0;;;;;;326;
;2025;2;EE 201;Circuit Theory I;EE 201_01;Dept.of Electric&Electronics Engineering;3;0;2;4;8;Course;Ali Nezih Güven ;F413 A317-MF-L;Mo 12 - 14 We 13 - 14 Fr 10 - 12;0;;;;;;5782;
;2025;2;EE 202;Circuit Theory II;EE 202_01;Dept.of Electric&Electronics Engineering;3;0;2;4;8;Course;Ali Nezih Güven ;D230 A317-MF-L;Tu 09 - 11 We 10 - 11 Th 11 - 13;0;;;;;;5782;
;2025;2;EE 202;Circuit Theory II;EE 202_02;Dept.of Electric&Electronics Engineering;3;0;2;4;8;Course;Ali Nezih Güven ;D230 A317-MF-L;Tu 13 - 15 We 09 - 10 Th 14 - 16;0;;;;;;5782;
;2025;2;EE 207;Electrical Circuits and Logic Design;EE 207_01;Dept.of Electric&Electronics Engineering;2;0;2;3;6;Course;Serkan Şahin ;D234 A311-PC-L;Tu 12 - 14 Th 16 - 18;0;;;;;;4098;
;2025;2;EE 207;Electrical Circuits and Logic Design;EE 207_02;Dept.of Electric&Electronics Engineering;2;0;2;3;6;Course;Serkan Şahin ;D234 A311-PC-L;Tu 16 - 18 Th 14 - 16;0;;;;;;4098;
;2025;2;EE 207;Electrical Circuits and Logic Design;EE 207_03;Dept.of Electric&Electronics Engineering;2;0;2;3;6;Course;Serkan Şahin ;D228 A311-PC-L;Mo 09 - 11 Th 09 - 11;0;;;;;;4098;
;2025;2;EE 222;Digital Logic Design;EE 222_01;Dept.of Electric&Electronics Engineering;2;0;2;3;6;Course;Kurtuluş Erinç Akdoğan ;F413 A311-PC-L;We 11 - 13 Fr 12 - 14;0;;;;;;5011;
;2025;2;EE 222;Digital Logic Design;EE 222_02;Dept.of Electric&Electronics Engineering;2;0;2;3;6;Course;Kurtuluş Erinç Akdoğan ;F413 A311-PC-L;We 14 - 16 Fr 16 - 18;0;;;;;;5011;
;2025;2;EE 252;Microelectronic Devices and Circuits;EE 252_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Çiçek Hatice Boztuğ Yerci ;F413;Tu 09 - 11 We 10 - 11;0;;;;;;252;
;2025;2;EE 252;Microelectronic Devices and Circuits;EE 252_02;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Çiçek Hatice Boztuğ Yerci ;F413;Tu 13 - 15 We 09 - 10;0;;;;;;252;
;2025;2;EE 304;Probability and Random Variables;EE 304_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Hüseyin Uğur Yıldız ;F404 F413;Mo 16 - 17 Tu 15 - 17;0;;;;;;843;
;2025;2;EE 312;Communication Systems I;EE 312_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Javad Haghighat ;F404 F413;Mo 12 - 13 Th 16 - 18;0;;;;;;4595;
;2025;2;EE 332;Feedback Control Systems;EE 332_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Aykut Yıldız ;F404 F413;Mo 14 - 16 Tu 17 - 18;0;;;;;;1038;
;2025;2;EE 342;Electromagnetic Theory II;EE 342_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Erdem Yazgan ;F404;Mo 11 - 12 Tu 09 - 11;0;;;;;;309;
;2025;2;EE 399;Summer Practice I;EE 399_01;Dept.of Electric&Electronics Engineering;1;0;0;1;4;Internship;Çiçek Hatice Boztuğ Yerci ;;Tu 09 - 10;0;;;;;;252;
;2025;2;EE 399-O;Summer Practice I;EE 399-O_01;Dept.of Electric&Electronics Engineering;1;0;0;1;2;Internship;Çiçek Hatice Boztuğ Yerci ;;Tu 09 - 10;0;;;;;;252;
;2025;2;EE 402;Linear Control Systems;EE 402_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Aykut Yıldız ;F404 F413;Mo 17 - 18 We 16 - 18;0;;;;;;1038;
;2025;2;EE 411;Digital Signal Processing;EE 411_01;Dept.of Electric&Electronics Engineering;3;0;0;3;5;Course;Javad Haghighat ;F404 F410;Mo 13 - 14 We 12 - 14;0;;;;;;4595;
;2025;2;EE 444;Antenna Engineering;EE 444_01;Dept.of Electric&Electronics Engineering;2;0;2;3;5;Course;Erdem Yazgan ;F404 A326-MF-L;Mo 09 - 11 We 10 - 12;0;;;;;;309;
;2025;2;EE 454;Microprocessors;EE 454_01;Dept.of Electric&Electronics Engineering;2;0;2;3;6;Course;Kurtuluş Erinç Akdoğan ;F413 A311-PC-L;Mo 14 - 16 Fr 14 - 16;0;;;;;;5011;
;2025;2;EE 491;Senior Project I;EE 491_01;Dept.of Electric&Electronics Engineering;1;0;4;3;7;Course;Erdem Yazgan ;;Fr 16 - 17;0;;;;;;309;
;2025;2;EE 492;Senior Project II;EE 492_01;Dept.of Electric&Electronics Engineering;1;0;4;3;12;Course;Aykut Yıldız ;;Fr 17 - 18;0;;;;;;1038;
;2025;2;EE 492;Senior Project II;EE 492_02;Dept.of Electric&Electronics Engineering;1;0;4;3;12;Course;Hüseyin Uğur Yıldız ;;Fr 17 - 18;0;;;;;;843;
;2025;2;EE 492-O;Senior Project II;EE 492-O_01;Dept.of Electric&Electronics Engineering;1;0;4;3;10;Course;Aykut Yıldız ;;Fr 17 - 18;0;;;;;;1038;
;2025;2;EE 492-O;Senior Project II;EE 492-O_02;Dept.of Electric&Electronics Engineering;1;0;4;3;10;Course;Hüseyin Uğur Yıldız ;;Fr 17 - 18;0;;;;;;843;
;2025;2;EE 499;Summer Practice II;EE 499_01;Dept.of Electric&Electronics Engineering;1;0;0;1;6;Internship;Çiçek Hatice Boztuğ Yerci ;;We 09 - 10;0;;;;;;252;
;2025;2;EE 499-O;Summer Practice II;EE 499-O_01;Dept.of Electric&Electronics Engineering;1;0;0;1;2;Internship;Çiçek Hatice Boztuğ Yerci ;;We 09 - 10;0;;;;;;252;
;2025;2;ELEP 206;Language Acquisition;ELEP 206_01;English Language Education;2;0;0;2;3;Course;Arzu Kanat Mutluoğlu ;G103;Fr 09 - 12;0;;;;;;3047;
;2025;2;ELEP 251;World Englishes and Culture;ELEP 251_01;English Language Education;2;0;0;2;4;Course;Arzu Kanat Mutluoğlu ;F204;Tu 12 - 14;0;;;;;;3047;
;2025;2;ELEP 256;Contemporary Approaches in ELT;ELEP 256_01;English Language Education;2;0;0;2;4;Course;Mehmet Sak ;;Th 12 - 14;0;;;;;;1457;
;2025;2;ELEP 302;Teaching Foreign Language to Young Learners 2;ELEP 302_01;English Language Education;3;0;0;3;5;Course;Semih Ekin ;G105 G113;Mo 09 - 11 We 12 - 14;0;;;;;;5642;
;2025;2;ELEP 302;Teaching Foreign Language to Young Learners 2;ELEP 302_02;English Language Education;3;0;0;3;5;Course;Melike Ünal Gezer ;G010;Mo 09 - 11 We 12 - 14;0;;;;;;1712;
;2025;2;ELEP 304;Teaching English Language Skills 2;ELEP 304_01;English Language Education;3;0;0;3;5;Course;Gülsev Pakkan ;F417 G010;Mo 15 - 17 We 14 - 16;0;;;;;;4882;
;2025;2;ELEP 304;Teaching English Language Skills 2;ELEP 304_02;English Language Education;3;0;0;3;5;Course;Belgin Elmas ;D226-Y;Mo 15 - 17 We 14 - 16;0;;;;;;2104;
